Vocab-sound-local	Sentence-expression	Sentence-meaning
gozen kuji no nyuusu desu	午前9時のニュースです。	And now for the 9.00 a.m. news.
konban no paateii ha nanji kara desu ka	今晩のパーティーは何時からですか。	From what time is the party tonight?
doyoubi no yoru ha kurabu ni ikimasu	土曜日の夜はクラブに行きます。	I'm going to a club Saturday night.
kinyoubi no yoru ha tomodachi to dekakemasu	金曜日の夜は友達と出かけます。	I go out with my friends on Friday nights.
konya ha tsuki ga totemo kirei desu	今夜は月がとてもきれいです。	The moon looks so beautiful tonight.
kinou no yoru ha ie ni imashita	きのうの夜は家にいました。	I was at home last night.
kinou taikaree wo tabemashita	昨日タイカレーを食べました。	I had Thai curry yesterday.
yuushoku ni ha nani wo tabetai desu ka	夕食には何を食べたいですか。	What would you like for supper?
bangohan ha tabemashita ka	晩ご飯は食べましたか。	Have you had dinner?
watashi ha pan yori gohan ga suki da	私はパンよりご飯が好きだ。	I prefer rice to bread.
koppu wo mittsu kaimashita	コップを三つ買いました。	I bought three glasses.
watashi ha hiru no dorama wo mainichi mimasu	私は昼のドラマを毎日見ます。	I watch daytime dramas every day.
megane ga mitsukarimasen	メガネが見つかりません。	I can't find my glasses.
sore ha tottemo ii hanashi da	それはとってもいい話だ。	That's a really nice story.
otoko no hito ga watashitachi ni hanashikaketa	男の人が私たちに話しかけた。	This guy began talking to us.
konshuu ha nihongo no tesuto ga arimasu	今週は日本語のテストがあります。	There's a Japanese test this week.
kou chiisai ji ha yomenai	こう小さい字は読めない。	I can't read such small letters.
mata aimashou	また会いましょう。	Let's meet again.
getsuyoubi ni aimashou	月曜日に会いましょう。	Let's meet on Monday.
kinou tomodachi ni atta	昨日、友達に会った。	I met a friend yesterday.
ashita kaisha wo yasumimasu	明日、会社を休みます。	I'm off work tomorrow.
kyou ha shigoto ga arimasen	今日は仕事がありません。	I have no work today.
mokuyoubi ha shigoto ga yasumi desu	木曜日は仕事が休みです。	Thursday is my day off work.
wakaranai baai ha watashi ni kiite kudasai	分からない場合は私に聞いてください。	Please ask me if you don't understand.
denki wo tsukete kudasai	電気をつけてください。	Please turn on the light.
eki ha doko desu ka	駅はどこですか。	Where's the station?
hanasu no wo yamete kudasai	話すのを止めてください。	Stop talking, please.
eki made arukimashou	駅まで歩きましょう。	Let's walk to the station.
eki no chikaku de shokuji wo shita	駅の近くで食事をした。	I ate near the station.
motto chikaku ni kite kudasai	もっと近くに来てください。	Please come closer.
eki ha koko kara chikai desu	駅はここから近いです。	The station is near here.
watashi no ie ha eki no chikaku desu	私の家は駅の近くです。	My house is near the station.
sore zenbu kudasai	それ、全部ください。	I'd like all of those, please.
watashi no kuni ni tsuite sukoshi ohanashi shimashou	私の国について少しお話しましょう。	Let me tell you a bit about my country.
kanji ha chuugoku kara kimashita	漢字は中国から来ました。	Kanji came from China.
akai bara wo kaimashita	赤いバラを買いました。	I bought a red rose.
niku to sakana to dochira ga suki desu ka	肉と魚とどちらが好きですか。	Which do you prefer, meat or fish?
nihonjin ha okome ga daisuki desu	日本人はお米が大好きです。	Japanese people love rice.
koko no ryouri ha mazui	ここの料理はまずい。	The food here is bad.
koko ni ha nani mo nai	ここには何も無い。	There's nothing here.
ima asagohan wo tsukutte imasu	今、朝ご飯を作っています。	I'm making breakfast now.
kono pasokon wo tsukatte kudasai	このパソコンを使ってください。	Please use this computer.
hiruma ha denki wo keshite kudasai	昼間は電気を消してください。	Please turn the lights off during the day.
omise ha mou shimatte imashita	お店はもう閉まっていました。	The shop had already closed.
sono mise no mae de aimashou	その店の前で会いましょう。	Let's meet in front of the shop.
watashi ha kono mise ni yoku kimasu	私はこの店によく来ます。	I come to this store quite often.
watashi no heya ha nikai ni arimasu	私の部屋は2階にあります。	My room is on the second floor.
watashi ha natsu ga daisuki	私は夏が大好き。	I just love summer.
kyou ha totemo atsui	今日はとても暑い。	It's very hot today.
kono suupu ha totemo atsui	このスープはとても熱い。	This soup is very hot.
kanada no fuyu ha totemo samui desu	カナダの冬はとても寒いです。	Canada's winters are very cold.
samui no de naka ni haitte kudasai	寒いので中に入ってください。	It's cold so please come inside.
kono heya ha samui desu	この部屋は寒いです。	It's cold in this room.
kotoshi no haru ha atatakai ne	今年の春は暖かいね。	It's warm this spring, isn't it.
kono kooto ha totemo atatakai。	このコートはとても暖かい。	This coat is really warm.
atarashii shigoto wo mitsukemashita。	新しい仕事を見つけました。	I found a new job.
atarashii teeburu wo kaimashita	新しいテーブルを買いました。	I bought a new table.
watashi ha furui kuruma ga suki desu	私は古い車が好きです。	I like old cars.
tabako ha karada ni warui	たばこは体に悪い。	Cigarettes are bad for your health.
watashi mo sou omoimasu	私もそう思います。	I think so too.
watashi mo sou omoimasu	私もそう思います。	That's what I think too.
anata ha dou omoimasu ka	あなたはどう思いますか。	What do you think?
yoku kangaete kudasai	よく考えてください。	Please think carefully.
kikoku suru koto ni kimemashita	帰国することに決めました。	I've decided to go back to my country.
kore ga kono machi de ichiban takai biru desu	これがこの町で一番高いビルです。	This is the tallest building in town.
kyouto ni ha otera ga ooi	京都にはお寺が多い。	There are a lot of temples in Kyoto.
asu no gogo okyakusama ga kuru	明日の午後、お客様が来る。	A guest is coming to visit tomorrow afternoon.
kono kaban ha omoi desu	このかばんは重いです。	This bag is heavy.
kokonoka ni nimotsu ga todokimasu	九日に荷物が届きます。	The package will arrive on the ninth.
anata ga kuru no wo matte imasu	あなたが来るのを待っています。	I am waiting for you to come.
watashi ha futsuka matta	私は二日待った。	I waited two days.
watashi ha kuruma wo motte imasu	私は車を持っています。	I have a car.
kimochi no ii asa desu	気持ちのいい朝です。	It's a pleasant morning.
watashi ha nihongo no sensei ni naritai desu	私は日本語の先生になりたいです。	I want to become a Japanese teacher.
watashi ha densha de tsuugaku shite imasu	私は電車で通学しています。	I go to school by train.
shigatsu ni daigaku ni nyuugaku shimashita	四月に大学に入学しました。	I entered my university in April.
ie kara gakkou made ha tooi desu	家から学校までは遠いです。	It's a long way from my house to the school.
anata no namae wo oshiete kudasai	あなたの名前を教えてください。	Please tell me your name.
daigaku ni itte motto benkyou shitai desu	大学に行ってもっと勉強したいです。	I want to go to college and study more.
watashi ha nihongo wo benkyou shite imasu	私は日本語を勉強しています。	I'm studying Japanese.
kyou ha kaze ga tsuyoi	今日は風が強い。	There's a strong wind today.
sono ko ha karada ga sukoshi yowai	その子は体が少し弱い。	That child has a somewhat weak constitution.
kono doa ha hiite kudasai	このドアは引いてください。	Please pull this door open.
shitsumon no aru kata ha douzo	質問のある方はどうぞ。	Please feel free to ask any questions.
kono hon ha muzukashii desu ne	この本は難しいですね。	This book is difficult.
tesuto de ii ten wo totta	テストでいい点を取った。	I got a good grade on the test.
gurasu no kazu ga tarimasen	グラスの数が足りません。	There are not enough glasses.
sono hito ni ha ni kai atta	その人には二回会った。	I met that person twice.
hawai ha yonkaime desu	ハワイは四回目です。	This is my fourth trip to Hawaii.
ringo wo hachiko kudasai	りんごを八個ください。	Please give me eight apples.
kyou ha yankiisu ga katta	今日はヤンキースが勝った。	The Yankees won today.
watashitachi no chiimu ha sono shiai de maketa	私たちのチームはその試合で負けた。	Our team lost the game.
anata ga hontouni suki desu	あなたが本当に好きです。	I really like you.
hoka ni houhou ga arimasen	他に方法がありません。	There's no other way.
tokei wo mitara choudo sanji datta	時計を見たらちょうど3時だった。	I looked at the clock and it was exactly three.
ano ie ni ha tokei ga yattsu arimasu	あの家には時計が八つあります。	There are eight clocks in that house.
watashi ga haraimashou	私が払いましょう。	Let me pay for that.
senen kashite kudasai	千円貸してください。	Please lend me 1000 yen.
shingakki ha raigetsu no yokka kara desu	新学期は来月の四日からです。	The new school term starts on the fourth of next month.
yuubinkyoku de kitte wo kaimashita	郵便局で切手を買いました。	I bought a stamp at the post office.
sono ko ha yubi de juu kazoemashita	その子は指で十数えました。	The child counted to ten on her fingers.
yoyaku ha irimasen	予約は要りません。	Reservations are not required.
yakusoku wo wasurenai de kudasai	約束を忘れないでください。	Please don't forget your promise.
eki karaha takushii ni notte kudasai	駅からはタクシーに乗ってください。	Please take a taxi from the station.
kyou ha suutsu wo kite imasu	今日はスーツを着ています。	I'm wearing a suit today.
soko ni suwatte kudasai	そこに座ってください。	Please sit there.
tsugi ha itsu aimashou ka	次はいつ会いましょうか。	When shall we meet again?
sono tsugi no shuu ha aitemasu ka	その次の週は空いてますか。	Are you free the following week?
ugokanai de	動かないで。	Freeze!
kesa ha hayaku ie wo demashita	今朝は早く家を出ました。	I left the house early this morning.
mada gakkou he iku ni ha hayai jikan desu	まだ学校へ行くには早い時間です。	It's still too early to go to school.
toki no tatsu no ha hayai	時の経つのは早い。	Time passes by quickly.
mae no kuruma ha totemo osoi	前の車はとても遅い。	The car in front is very slow.
tesuto wo hajimete kudasai	テストを始めてください。	Please start the test.
gakkou ha hachijihan ni hajimarimasu	学校は8時半に始まります。	School starts at 8:30.
ichi kara hajimemashou	一から始めましょう。	Let's start from the beginning.
atarashii toshi ga hajimarimashita	新しい年が始まりました。	A new year has started.
atarashii shigoto ga hajimarimashita	新しい仕事が始まりました。	My new job started.
asa 9 ji kara miiteingu ga hajimatta	朝9時からミーティングが始まった。	The meeting started at 9 a.m.
natsuyasumi mo mou owari da	夏休みももう終わりだ。	Summer vacation's already over.
watashi ha kyonen furansu he itta	私は去年フランスへ行った。	I went to France last year.
kono kami wo hanbun ni kitte kudasai	この紙を半分に切ってください。	Please cut this paper in half.
tegami ga todoku no ni mikka kakarimashita	手紙が届くのに三日かかりました。	It took three days for the letter to arrive.
watashi ha e wo miru no ga suki desu	私は絵を見るのが好きです。	I like looking at pictures.
kyou ha hitori no jikan wo tanoshimitai	今日は一人の時間を楽しみたい。	Today I would like to enjoy some time to myself.
nani ka nomimono ga hoshii na 。	何か飲み物が欲しいな。	I could really use something to drink.
shigoto no ato eiga wo mita	仕事の後、映画を見た。	I saw a movie after work.
sono shashin wo misete kudasai	その写真を見せてください。	Please show me those pictures.
suteki na iro no seetaa desu ne	すてきな色のセーターですね。	That sweater is a wonderful color.
sugu ikimasu	直ぐ行きます。	I'll go right away.
kono shorui wo kakinaoshite kudasai	この書類を書き直してください。	Please rewrite this document.
kuuraa ha mada naorimasen	クーラーはまだ直りません。	The air conditioner hasn't been repaired yet.
kono michi wo massugu iku to eki desu	この道を真っ直ぐ行くと駅です。	Go straight along this road to get to the station.
akai sen wo ni hon hiite kudasai	赤い線を2本引いて下さい。	Please draw two red lines.
soko wo hidari ni magatte kudasai	そこを左に曲がってください。	Please turn left there.
soko wo hidari ni magatte kudasai	そこを左に曲がってください。	Please turn left there.
youbi wo machigaemashita	曜日を間違えました。	I got the day of the week wrong.
kotoshi ha itaria ni ryokou shitai	今年はイタリアに旅行したい。	I want to travel to Italy this year.
gonin de ryokou ni ikimashita	五人で旅行に行きました。	Five of us went on a trip.
nichiyoubi ha toshokan ni ikimasu	日曜日は図書館に行きます。	I go to the library on Sundays.
toshokan de ryouri no hon wo karita	図書館で料理の本を借りた。	I borrowed a cookbook from the library.
shukudai ha mada owatte imasen	宿題は未だ終わっていません。	I haven't finished my homework yet.
watashi ha tomodachi no tokoro ni tomatta	私は友達のところに泊まった。	I stayed at my friend's place for the night.
kyou ha kono hoteru ni tomarimasu	今日はこのホテルに泊まります。	I'm staying at this hotel today.
uchi ni asobi ni kite kudasai	家に遊びに来てください。	Please come over to my house.
kono fuku ha totemo yasukatta	この服はとても安かった。	These clothes were very cheap.
kinou atarashii fuku wo katta	昨日、新しい服を買った。	I bought some new clothes yesterday.
mado wo akete kudasai	窓を開けてください。	Please open the window.
otousan ha kaishain desu	お父さんは会社員です。	My father's a company employee.
watashi ha chichi ga daisuki desu	私は父が大好きです。	I love my father.
haha to denwa de hanashimashita	母と電話で話しました。	I spoke to my mother on the phone.
kinou haha to hanashi wo shimashita	昨日、母と話をしました。	I talked to my mother yesterday.
ane ha ginkou de hataraiteimasu。	姉は銀行で働いています。	My big sister works at a bank.
ane ha daigakusei desu	姉は大学生です。	My big sister's a college student.
ane ha daigakusei desu	姉は大学生です。	My big sister's a college student.
kinou anata no oneesan ni atta yo	昨日、あなたのお姉さんに会ったよ。	I met your older sister yesterday.
imouto ha uta ga jouzu desu	妹は歌が上手です。	My little sister can sing.
watashi no imouto ha shougakusei desu	私の妹は小学生です。	My little sister goes to elementary school.
anata no oniisan ha nansai	あなたのお兄さんは何歳?	How old's your big brother?
otouto ga kuruma wo katta	弟が車を買った。	My younger brother bought a car.
watashi no otouto ha koukousei desu	私の弟は高校生です。	My little brother's a high school student.
watashi no musume ha amerika ni imasu	私の娘はアメリカにいます。	My daughter is in the United States.
musume ha asu kokonotsu ni narimasu	娘は明日九つになります。	My daughter's turning nine tomorrow.
uchi no musuko ha daigaku ichinensei desu	うちの息子は大学1年生です。	My son's a college freshman.
musuko ha muttsu ni narimashita	息子は六つになりました。	My son turned six.
ten'in ha wakai onna no hito deshita	店員は若い女の人でした。	The salesclerk was a young woman.
kare no kuruma ha atarashii	彼の車は新しい。	His car is new.
kare ha ima benkyou shite imasu	彼は今、勉強しています。	He's studying now.
kare ha mou kaerimashita 。	彼はもう帰りました。	He's already gone home.
kare ha majime na gakusei desu	彼は真面目な学生です。	He's a serious student.
kanojo ha yoku ryokou ni ikimasu	彼女はよく旅行に行きます。	She often goes on holiday.
kanojo ha ooeru desu	彼女はOLです。	She's an office worker.
kanojo ha rajio wo kiite imasu	彼女はラジオを聞いています。	She's listening to the radio.
kare ha mada wakai desu	彼はまだ若いです。	He's still young.
kare ha kanari eigo ga jouzu desu	彼はかなり英語が上手です。	He's pretty good at English.
kare ha kaisha no chikaku ni sunde iru	彼は会社の近くに住んでいる。	He lives near his office.
kare ha suteeji ni tatta	彼はステージに立った。	He stood on stage.
kare no kimochi ga wakaranai	彼の気持ちが分からない。	I don't understand his feelings.
kare no ie ha totemo hiroi	彼の家はとても広い。	His house is very big.
kare ha maiban sankiro hashitte imasu	彼は毎晩3キロ走っています。	Every night he runs three kilometers.
kare ha ie wo utta	彼は家を売った。	He sold the house.
kare ha suugaku wo oshiete imasu	彼は数学を教えています。	He teaches mathematics.
kare no ie ni nimotsu wo okurimashita	彼の家に荷物を送りました。	I sent a package to his house.
kare ni tegami wo kakimashita	彼に手紙を書きました。	I wrote him a letter.
kanojo kara purezento wo moraimashita	彼女からプレゼントをもらいました。	I got a present from her.
kare ha ashi ga nagai	彼は足が長い。	He has long legs.
kanojo ha itariago ga dekimasu	彼女はイタリア語が出来ます。	She knows Italian.
kare ha ashi ga mijikai	彼は足が短い。	His legs are short.
kanojo ha itsumo genki da	彼女はいつも元気だ。	She's always full of energy.
kanojo ha zasshi wo yonde imasu	彼女は雑誌を読んでいます。	She's reading the magazine.
kanojo ha itsu kimasu ka	彼女はいつ来ますか。	When is she coming?
kare ha hashiru no ga hayai	彼は走るのが速い。	He runs fast.
kanojo ha mimi ga yoku kikoemasen	彼女は耳がよく聞こえません。	Her hearing isn't very good.
kare ha nimotsu wo amidana ni ageta	彼は荷物をあみだなに上げた。	He put the luggage on the luggage rack.
kare ha totemo tanoshii hito desu	彼はとても楽しい人です。	He's very fun to be with.
kanojo ha yoku shaberu ne	彼女はよくしゃべるね。	She really likes to chat, doesn't she?
kanojo ha sannin no kodomo no hahaoya da	彼女は三人の子供の母親だ。	She's the mother of three children.
kare ha hirusugi ni kimasu	彼は昼過ぎに来ます。	He'll come after lunch.
kanojo ha ii tomodachi desu	彼女は良い友達です。	She's a good friend.
kare ha watashi no hou wo mimashita	彼は私の方を見ました。	He looked at me.
kanojo ha aoi me wo shite imasu	彼女は青い目をしています。	She has blue eyes.
kare ni ha kodomo ga rokunin imasu	彼には子供が六人います。	He has six children.
kanojo ha aki ni kekkon shimasu	彼女は秋に結婚します。	She'll get married this fall.
kanojo ha raigetsu kekkon shimasu	彼女は来月結婚します。	She's getting married next month.
watashitachi ha sengetsu juuichi nichi ni kekkon shimashita	私たちは先月11日に結婚しました。	We got married last month on the 11th.
mainichi eki made jitensha de ikimasu	毎日、駅まで自転車で行きます。	I go to the station by bike every day.
shukudai ha jibun de yarinasai	宿題は自分でやりなさい。	Do your homework by yourself.
goshujin ha ogenki desu ka	ご主人はお元気ですか。	How is your husband?
kaigi ha yoji ni owarimasu	会議は4時に終わります。	The conference ends at four o'clock.
kayoubi ni kaigi ga arimasu	火曜日に会議があります。	There's a meeting on Tuesday.
kotae ga chigaimasu	答えが違います。	That's the wrong answer.
watashi no shitsumon ni kotaete kudasai	私の質問に答えてください。	Please answer my question.
betsu no hon mo misete kudasai	別の本も見せてください。	Please show me another book.
kare ha isha ni narimashita	彼は医者になりました。	He became a doctor.
kore ha isha no tame no saito desu	これは医者のためのサイトです。	This is a site for doctors.
kare ha ha ga shiroi	彼は歯が白い。	His teeth are white.
kyoukasho wo tojite kudasai	教科書を閉じてください。	Please close your textbooks.
kare ha kaban kara kyoukasho wo dashita	彼はかばんから教科書を出した。	He took the textbook out of his bag.
sangatsu ha shigoto ga isogashii	3月は仕事が忙しい。	I have a lot of work in March.
kongetsu ha totemo isogashii	今月はとても忙しい。	I'm very busy this month.
sukoshi tsukaremashita	少し疲れました。	I'm a little tired.
kanojo ha sake ni tsuyoi	彼女は酒に強い。	She holds her liquor well.
tomodachi to osake wo nonde imasu	友達とお酒を飲んでいます。	I'm drinking sake with a friend.
osake ha otona ni natte kara	お酒は大人になってから。	You can drink alcohol when you're an adult.
mizu wo ippai kudasai	水を一杯ください。	Please give me a glass of water.
puuru ha hito de ippai desu	プールは人で一杯です。	The pool is packed.
kare ha igai ni ki ga chiisai	彼は意外に気が小さい。	He's unexpectedly timid.
shitsumon no imi ha wakarimashita ka	質問の意味は分かりましたか。	Did you understand the meaning of the question?
kodomotachi ga kouen de asonde iru	子供たちが公園で遊んでいる。	The children are playing in the park.
musuko ha hikouki no omocha ga suki desu	息子は飛行機のおもちゃが好きです。	My son likes toy airplanes.
onegai ga arimasu	お願いがあります。	I have a favor to ask.
kouji ha sangatsu made tsuzukimasu	工事は3月まで続きます。	Construction will continue until March.
kirin no kubi ha nagai	きりんの首は長い。	Giraffes' necks are long.
kesa kara atama ga itai	今朝から頭が痛い。	I've had a headache since this morning.
kyou ha atama ga itai desu	今日は頭が痛いです。	I have a headache today.
kare ha yuubinkyoku wo sagashite imashita	彼は郵便局を探していました。	He was looking for the post office.
otearai ha doko desu ka	お手洗いはどこですか。	Where's the bathroom?
tsumetai nomimono wo kudasai	冷たい飲み物をください。	Please give me a cold drink.
kare no heya ha totemo kitanai	彼の部屋はとても汚い。	His room is very dirty.
kanojo ha ashi ga futoi	彼女は足が太い。	She has fat legs.
yakyuu ha kyuunin de hitochiimu desu	野球は九人で1チームです。	In baseball there are nine people on one team.
otouto ha yakyuu ga suki desu	弟は野球が好きです。	My little brother likes baseball.
kare ha kami wo shinjite iru	彼は神を信じている。	He believes in God.
watashitachi ha rainen ie wo tatemasu	私たちは来年、家を建てます。	We're building a house next year.
ano ookii tatemono ha nan desu ka	あの大きい建物は何ですか。	What's that big building?
kare no nihongo no reberu ha watashi to onaji kurai da	彼の日本語のレベルは私と同じ位だ。	His Japanese level is about the same as mine.
ano hon wo doko ni okimashita ka	あの本をどこに置きましたか。	Where did you put that book?
kare ha kaban wo isu no ue ni okimashita	彼はかばんをいすの上に置きました。	He put the bag on the chair.
asoko ni basutei ga arimasu	あそこにバス停があります。	There's a bus stop over there.
kare ha konohen ni sunde imasu	彼はこの辺に住んでいます。	He lives around here.
kanojo ni kiiroi bara wo kaimashita	彼女に黄色いバラを買いました。	I bought her a yellow rose.
tomodachi to issho ni shukudai wo shita	友達と一緒に宿題をした。	I did my homework with a friend.
issho ni shukudai wo yarou	一緒に宿題をやろう。	Let's do our homework together.
isshoni kaerimashou	一緒に帰りましょう。	Let's go home together.
rainen issho ni ryokou shimashou	来年一緒に旅行しましょう。	Let's travel together next year.
kono machi ni ha midori ga takusan arimasu	この町には緑がたくさんあります。	There's a lot of greenery in this town.
kono mondai ha kanari yasashii desu	この問題はかなり易しいです。	This problem is pretty easy.
kare ha ryuugakusei desu	彼は留学生です。	He's a foreign student.
ima kaisha ni modorimasu	今、会社に戻ります。	I'm going back to the office now.
watashi ha maiasa rokuji ni okimasu	私は毎朝6時に起きます。	I get up at six o'clock every morning.
machi de daijiken ga okorimashita	町で大事件が起こりました。	There was a major incident in town.
asu rokuji ni okoshite kudasai	明日、6時に起こしてください。	Please wake me up tomorrow at six o'clock.
kinjo de tounan jiken ga okimashita	近所で盗難事件が起きました。	Some burglaries occurred in the neighborhood.
mou neyou	もう寝よう。	Let's go to bed.
kanojo ha tabun ie de nete imasu	彼女は多分家で寝ています。	She's probably sleeping at home.
watashi ha madogawa no seki ni suwatta	私は窓側の席に座った。	I sat in a window seat.
hon wo issatsu kaimashita	本を１冊買いました。	I bought one book.
kanojo ha yubi ga hosoi desu ne	彼女は指が細いですね。	Her fingers are thin.
watashi ha mainichi nikki wo tsukete imasu	私は毎日、日記を付けています。	I keep a diary every day.
kare ha tokidoki chikoku shimasu	彼は時々遅刻します。	He's sometimes late.
kare ha shiitoberuto wo shimeta	彼はシートベルトを締めた。	He fastened his seat belt.
kono ichigo ha amai	このイチゴは甘い。	This strawberry is sweet.
kare ha karai mono ga suki desu	彼は辛いものが好きです。	He likes spicy food.
ryokou no nittei wo kaemashita	旅行の日程を変えました。	I changed our travel schedule.
ryokou no nittei ga kimarimashita	旅行の日程が決まりました。	I've decided on my travel schedule.
kare ha totemo yasashii hito desu	彼はとても優しい人です。	He's a very kind person.
kare ha yasashii hito desu	彼は優しい人です。	He's a nice guy.
watashi no otto ha sarariiman desu	私の夫はサラリーマンです。	My husband is a company employee.
dare mo sono hanashi wo shiranai	誰もその話を知らない。	No one knows that story.
dare to atte mitai desu ka	誰と会ってみたいですか。	Who would you like to meet one day?
oya no ai ha arigatai	親の愛は有り難い。	We're grateful for our parents' love.
watashi ha kazoku wo aishite imasu	私は家族を愛しています。	I love my family.
tomodachi ga tanjoubi purezento wo kureta	友達が誕生日プレゼントをくれた。	My friend gave me a birthday present.
raigetsu no hatsuka ha otouto no tanjoubi desu	来月の二十日は弟の誕生日です。	The 20th of next month is my little brother's birthday.
kyou ha tsuma no tanjoubi da	今日は妻の誕生日だ。	It's my wife's birthday today.
gogatsu itsuka ha shukujitsu desu	五月五日は祝日です	May 5th is a holiday.
doushite naite iru no	どうして泣いているの。	Why are you crying?
koko kara fujisan ga yoku miemasu	ここから富士山がよく見えます。	You can see Mount Fuji well from here.
ani ha suiei ga tokui desu	兄は水泳が得意です。	My big brother is good at swimming.
kono budou ha suppai desu	このぶどうは酸っぱいです。	These grapes are sour.
chiisai hana ga saite imasu	小さい花が咲いています。	Small flowers are blooming.
kono kotoba no imi ga wakarimasen	この言葉の意味が分かりません。	I don't understand the meaning of this word.
kono keeki ha oishii ne	このケーキはおいしいね。	This cake is yummy.
ueitaa wo yobimashou	ウェイターを呼びましょう。	Let's call the waiter.
mune ni sukoshi itami ga arimasu	胸に少し痛みがあります。	I have a slight pain in my chest.
kinou kara koshi ga itai	昨日から腰が痛い。	I've had a pain in my lower back since yesterday.
sara ni keeki wo nosemashita。	皿にケーキを載せました。	I put the cake on the plate.
kare ha se ga hikui	彼は背が低い。	He's short.
kare ha kurasu de ichiban se ga takai	彼はクラスで一番背が高い。	He's the tallest in class.
kanojo ha se ga takai	彼女は背が高い。	She's tall.
soko ni ooki na en wo kaite	そこに大きな円を描いて。	Draw a big circle there.
imouto ha hiragana wo zenbu oboemashita	妹は平仮名を全部覚えました。	My little sister learned all the hiragana.
onamae wo katakana de kaite kudasai	お名前を片仮名で書いてください。	Please write your name in katakana.
watashi ha hiragana wo zenbu yomemasu	私は平仮名を全部読めます。	I can read all the hiragana.
sono eiga ha totemo kanashikatta	その映画はとても悲しかった。	That movie was very sad.
kono e ha utsukushii desu	この絵は美しいです。	This picture is beautiful.
nippon no tabemono ha totemo oishii desu	日本の食べ物はとても美味しいです。	Japanese food is very delicious.
joushi ga ippai nomou to itta	上司が「一杯、飲もう。」と言った。	"My boss said: ""Let's have a drink."""
kare ha watashi no joushi desu	彼は私の上司です。	He's my senior.
kyou ha nihongo no jugyou ga arimasu	今日は日本語の授業があります。	There's going to be a Japanese class today.
okaasan ni yoroshiku otsutae kudasai	お母さんによろしくお伝えください。	Please give my best to your mother.
watashi ga tetsudaimashou	私が手伝いましょう。	Can I help you?
tori ga tonde imasu	鳥が飛んでいます。	A bird is flying.
watashitachi ha ooki na koe de utaimashita	私たちは大きな声で歌いました。	We sang loudly.
inu ga byouki de shinimashita。	犬が病気で死にました。	Our dog got sick and died.
watashi ha inu ga daisuki da	私は犬が大好きだ。	I love dogs.
