Vocab-sound-local	Sentence-expression	Sentence-meaning
anata ha dou omoimasu ka	あなたはどう思いますか。	What do you think?	1
yoku kangaete kudasai	よく考えてください。	Please think carefully.	1
kikoku suru koto ni kimemashita	帰国することに決めました。	I've decided to go back to my country.	1
kore ga kono machi de ichiban takai biru desu	これがこの町で一番高いビルです。	This is the tallest building in town.	1
kyouto ni ha otera ga ooi	京都にはお寺が多い。	There are a lot of temples in Kyoto.	1
asu no gogo okyakusama ga kuru	明日の午後、お客様が来る。	A guest is coming to visit tomorrow afternoon.	1
kono kaban ha omoi desu	このかばんは重いです。	This bag is heavy.	1
kokonoka ni nimotsu ga todokimasu	九日に荷物が届きます。	The package will arrive on the ninth.	1
anata ga kuru no wo matte imasu	あなたが来るのを待っています。	I am waiting for you to come.	1
watashi ha futsuka matta	私は二日待った。	I waited two days.	1
watashi ha kuruma wo motte imasu	私は車を持っています。	I have a car.	1
kimochi no ii asa desu	気持ちのいい朝です。	It's a pleasant morning.	1
watashi ha nihongo no sensei ni naritai desu	私は日本語の先生になりたいです。	I want to become a Japanese teacher.	1
watashi ha densha de tsuugaku shite imasu	私は電車で通学しています。	I go to school by train.	1
shigatsu ni daigaku ni nyuugaku shimashita	四月に大学に入学しました。	I entered my university in April.	1
ie kara gakkou made ha tooi desu	家から学校までは遠いです。	It's a long way from my house to the school.	1
anata no namae wo oshiete kudasai	あなたの名前を教えてください。	Please tell me your name.	1
daigaku ni itte motto benkyou shitai desu	大学に行ってもっと勉強したいです。	I want to go to college and study more.	1
watashi ha nihongo wo benkyou shite imasu	私は日本語を勉強しています。	I'm studying Japanese.	1
kyou ha kaze ga tsuyoi	今日は風が強い。	There's a strong wind today.	1
sono ko ha karada ga sukoshi yowai	その子は体が少し弱い。	That child has a somewhat weak constitution.	1
kono doa ha hiite kudasai	このドアは引いてください。	Please pull this door open.	1
shitsumon no aru kata ha douzo	質問のある方はどうぞ。	Please feel free to ask any questions.	1
tesuto de ii ten wo totta	テストでいい点を取った。	I got a good grade on the test.	1
gurasu no kazu ga tarimasen	グラスの数が足りません。	There are not enough glasses.	1
sono hito ni ha ni kai atta	その人には二回会った。	I met that person twice.	1
hawai ha yonkaime desu	ハワイは四回目です。	This is my fourth trip to Hawaii.	1
ringo wo hachiko kudasai	りんごを八個ください。	Please give me eight apples.	1
kyou ha yankiisu ga katta	今日はヤンキースが勝った。	The Yankees won today.	1
watashitachi no chiimu ha sono shiai de maketa	私たちのチームはその試合で負けた。	Our team lost the game.	1
anata ga hontouni suki desu	あなたが本当に好きです。	I really like you.	1
hoka ni houhou ga arimasen	他に方法がありません。	There's no other way.	1
tokei wo mitara choudo sanji datta	時計を見たらちょうど3時だった。	I looked at the clock and it was exactly three.	1
ano ie ni ha tokei ga yattsu arimasu	あの家には時計が八つあります。	There are eight clocks in that house.	1
watashi ga haraimashou	私が払いましょう。	Let me pay for that.	1
senen kashite kudasai	千円貸してください。	Please lend me 1000 yen.	1
shingakki ha raigetsu no yokka kara desu	新学期は来月の四日からです。	The new school term starts on the fourth of next month.	1
yuubinkyoku de kitte wo kaimashita	郵便局で切手を買いました。	I bought a stamp at the post office.	1
sono ko ha yubi de juu kazoemashita	その子は指で十数えました。	The child counted to ten on her fingers.	1
yoyaku ha irimasen	予約は要りません。	Reservations are not required.	1
yakusoku wo wasurenai de kudasai	約束を忘れないでください。	Please don't forget your promise.	1
eki karaha takushii ni notte kudasai	駅からはタクシーに乗ってください。	Please take a taxi from the station.	1
kyou ha suutsu wo kite imasu	今日はスーツを着ています。	I'm wearing a suit today.	1
soko ni suwatte kudasai	そこに座ってください。	Please sit there.	1
tsugi ha itsu aimashou ka	次はいつ会いましょうか。	When shall we meet again?	1
sono tsugi no shuu ha aitemasu ka	その次の週は空いてますか。	Are you free the following week?	1
ugokanai de	動かないで。	Freeze!	1
kesa ha hayaku ie wo demashita	今朝は早く家を出ました。	I left the house early this morning.	1
mada gakkou he iku ni ha hayai jikan desu	まだ学校へ行くには早い時間です。	It's still too early to go to school.	1
toki no tatsu no ha hayai	時の経つのは早い。	Time passes by quickly.	1
mae no kuruma ha totemo osoi	前の車はとても遅い。	The car in front is very slow.	1
tesuto wo hajimete kudasai	テストを始めてください。	Please start the test.	1
gakkou ha hachijihan ni hajimarimasu	学校は8時半に始まります。	School starts at 8:30.	1
ichi kara hajimemashou	一から始めましょう。	Let's start from the beginning.	1
atarashii toshi ga hajimarimashita	新しい年が始まりました。	A new year has started.	1
atarashii shigoto ga hajimarimashita	新しい仕事が始まりました。	My new job started.	1
asa 9 ji kara miiteingu ga hajimatta	朝9時からミーティングが始まった。	The meeting started at 9 a.m.	1
natsuyasumi mo mou owari da	夏休みももう終わりだ。	Summer vacation's already over.	1
watashi ha kyonen furansu he itta	私は去年フランスへ行った。	I went to France last year.	1
kono kami wo hanbun ni kitte kudasai	この紙を半分に切ってください。	Please cut this paper in half.	1
tegami ga todoku no ni mikka kakarimashita	手紙が届くのに三日かかりました。	It took three days for the letter to arrive.	1
watashi ha e wo miru no ga suki desu	私は絵を見るのが好きです。	I like looking at pictures.	1
kyou ha hitori no jikan wo tanoshimitai	今日は一人の時間を楽しみたい。	Today I would like to enjoy some time to myself.	1
nani ka nomimono ga hoshii na 。	何か飲み物が欲しいな。	I could really use something to drink.	1
shigoto no ato eiga wo mita	仕事の後、映画を見た。	I saw a movie after work.	1
sono shashin wo misete kudasai	その写真を見せてください。	Please show me those pictures.	1
suteki na iro no seetaa desu ne	すてきな色のセーターですね。	That sweater is a wonderful color.	1
sugu ikimasu	直ぐ行きます。	I'll go right away.	1
kono shorui wo kakinaoshite kudasai	この書類を書き直してください。	Please rewrite this document.	1
kuuraa ha mada naorimasen	クーラーはまだ直りません。	The air conditioner hasn't been repaired yet.	1
kono michi wo massugu iku to eki desu	この道を真っ直ぐ行くと駅です。	Go straight along this road to get to the station.	1
akai sen wo ni hon hiite kudasai	赤い線を2本引いて下さい。	Please draw two red lines.	1
soko wo hidari ni magatte kudasai	そこを左に曲がってください。	Please turn left there.	1
soko wo hidari ni magatte kudasai	そこを左に曲がってください。	Please turn left there.	1
youbi wo machigaemashita	曜日を間違えました。	I got the day of the week wrong.	1
kotoshi ha itaria ni ryokou shitai	今年はイタリアに旅行したい。	I want to travel to Italy this year.	1
gonin de ryokou ni ikimashita	五人で旅行に行きました。	Five of us went on a trip.	1
nichiyoubi ha toshokan ni ikimasu	日曜日は図書館に行きます。	I go to the library on Sundays.	1
toshokan de ryouri no hon wo karita	図書館で料理の本を借りた。	I borrowed a cookbook from the library.	1
shukudai ha mada owatte imasen	宿題は未だ終わっていません。	I haven't finished my homework yet.	1
watashi ha tomodachi no tokoro ni tomatta	私は友達のところに泊まった。	I stayed at my friend's place for the night.	1
kyou ha kono hoteru ni tomarimasu	今日はこのホテルに泊まります。	I'm staying at this hotel today.	1
uchi ni asobi ni kite kudasai	家に遊びに来てください。	Please come over to my house.	1
kono fuku ha totemo yasukatta	この服はとても安かった。	These clothes were very cheap.	1
kinou atarashii fuku wo katta	昨日、新しい服を買った。	I bought some new clothes yesterday.	1
mado wo akete kudasai	窓を開けてください。	Please open the window.	1
otousan ha kaishain desu	お父さんは会社員です。	My father's a company employee.	1
watashi ha chichi ga daisuki desu	私は父が大好きです。	I love my father.	1
haha to denwa de hanashimashita	母と電話で話しました。	I spoke to my mother on the phone.	1
kinou haha to hanashi wo shimashita	昨日、母と話をしました。	I talked to my mother yesterday.	1
ane ha ginkou de hataraiteimasu。	姉は銀行で働いています。	My big sister works at a bank.	1
ane ha daigakusei desu	姉は大学生です。	My big sister's a college student.	1
ane ha daigakusei desu	姉は大学生です。	My big sister's a college student.	1
kinou anata no oneesan ni atta yo	昨日、あなたのお姉さんに会ったよ。	I met your older sister yesterday.	1
imouto ha uta ga jouzu desu	妹は歌が上手です。	My little sister can sing.	1
watashi no imouto ha shougakusei desu	私の妹は小学生です。	My little sister goes to elementary school.	1
anata no oniisan ha nansai	あなたのお兄さんは何歳?	How old's your big brother?	1
otouto ga kuruma wo katta	弟が車を買った。	My younger brother bought a car.	1
watashi no otouto ha koukousei desu	私の弟は高校生です。	My little brother's a high school student.	1
watashi no musume ha amerika ni imasu	私の娘はアメリカにいます。	My daughter is in the United States.	1
musume ha asu kokonotsu ni narimasu	娘は明日九つになります。	My daughter's turning nine tomorrow.	1
uchi no musuko ha daigaku ichinensei desu	うちの息子は大学1年生です。	My son's a college freshman.	1
musuko ha muttsu ni narimashita	息子は六つになりました。	My son turned six.	1
ten'in ha wakai onna no hito deshita	店員は若い女の人でした。	The salesclerk was a young woman.	1
kare no kuruma ha atarashii	彼の車は新しい。	His car is new.	1
kare ha ima benkyou shite imasu	彼は今、勉強しています。	He's studying now.	1
kare ha mou kaerimashita 。	彼はもう帰りました。	He's already gone home.	1
kare ha majime na gakusei desu	彼は真面目な学生です。	He's a serious student.	1
kanojo ha yoku ryokou ni ikimasu	彼女はよく旅行に行きます。	She often goes on holiday.	1
kanojo ha ooeru desu	彼女はOLです。	She's an office worker.	1
kanojo ha rajio wo kiite imasu	彼女はラジオを聞いています。	She's listening to the radio.	1
kare ha mada wakai desu	彼はまだ若いです。	He's still young.	1
kare ha kanari eigo ga jouzu desu	彼はかなり英語が上手です。	He's pretty good at English.	1
kare ha kaisha no chikaku ni sunde iru	彼は会社の近くに住んでいる。	He lives near his office.	1
kare ha suteeji ni tatta	彼はステージに立った。	He stood on stage.	1
kare no kimochi ga wakaranai	彼の気持ちが分からない。	I don't understand his feelings.	1
kare no ie ha totemo hiroi	彼の家はとても広い。	His house is very big.	1
kare ha maiban sankiro hashitte imasu	彼は毎晩3キロ走っています。	Every night he runs three kilometers.	1
kare ha ie wo utta	彼は家を売った。	He sold the house.	1
kare ha suugaku wo oshiete imasu	彼は数学を教えています。	He teaches mathematics.	1
kare no ie ni nimotsu wo okurimashita	彼の家に荷物を送りました。	I sent a package to his house.	1
kare ni tegami wo kakimashita	彼に手紙を書きました。	I wrote him a letter.	1
kanojo kara purezento wo moraimashita	彼女からプレゼントをもらいました。	I got a present from her.	1
kare ha ashi ga nagai	彼は足が長い。	He has long legs.	1
kanojo ha itariago ga dekimasu	彼女はイタリア語が出来ます。	She knows Italian.	1
kare ha ashi ga mijikai	彼は足が短い。	His legs are short.	1
kanojo ha itsumo genki da	彼女はいつも元気だ。	She's always full of energy.	1
kanojo ha zasshi wo yonde imasu	彼女は雑誌を読んでいます。	She's reading the magazine.	1
kare ha hashiru no ga hayai	彼は走るのが速い。	He runs fast.	1
kanojo ha mimi ga yoku kikoemasen	彼女は耳がよく聞こえません。	Her hearing isn't very good.	1
kare ha nimotsu wo amidana ni ageta	彼は荷物をあみだなに上げた。	He put the luggage on the luggage rack.	1
kare ha totemo tanoshii hito desu	彼はとても楽しい人です。	He's very fun to be with.	1
kanojo ha yoku shaberu ne	彼女はよくしゃべるね。	She really likes to chat, doesn't she?	1
kanojo ha sannin no kodomo no hahaoya da	彼女は三人の子供の母親だ。	She's the mother of three children.	1
kare ha hirusugi ni kimasu	彼は昼過ぎに来ます。	He'll come after lunch.	1
kanojo ha ii tomodachi desu	彼女は良い友達です。	She's a good friend.	1
kare ha watashi no hou wo mimashita	彼は私の方を見ました。	He looked at me.	1
kanojo ha aoi me wo shite imasu	彼女は青い目をしています。	She has blue eyes.	1
kare ni ha kodomo ga rokunin imasu	彼には子供が六人います。	He has six children.	1
kanojo ha aki ni kekkon shimasu	彼女は秋に結婚します。	She'll get married this fall.	1
kanojo ha raigetsu kekkon shimasu	彼女は来月結婚します。	She's getting married next month.	1
watashitachi ha sengetsu juuichi nichi ni kekkon shimashita	私たちは先月11日に結婚しました。	We got married last month on the 11th.	1
mainichi eki made jitensha de ikimasu	毎日、駅まで自転車で行きます。	I go to the station by bike every day.	1
shukudai ha jibun de yarinasai	宿題は自分でやりなさい。	Do your homework by yourself.	1
goshujin ha ogenki desu ka	ご主人はお元気ですか。	How is your husband?	1
kaigi ha yoji ni owarimasu	会議は4時に終わります。	The conference ends at four o'clock.	1
kayoubi ni kaigi ga arimasu	火曜日に会議があります。	There's a meeting on Tuesday.	1
kotae ga chigaimasu	答えが違います。	That's the wrong answer.	1
watashi no shitsumon ni kotaete kudasai	私の質問に答えてください。	Please answer my question.	1
betsu no hon mo misete kudasai	別の本も見せてください。	Please show me another book.	1
kare ha isha ni narimashita	彼は医者になりました。	He became a doctor.	1
kore ha isha no tame no saito desu	これは医者のためのサイトです。	This is a site for doctors.	1
kare ha ha ga shiroi	彼は歯が白い。	His teeth are white.	1
kyoukasho wo tojite kudasai	教科書を閉じてください。	Please close your textbooks.	1
kare ha kaban kara kyoukasho wo dashita	彼はかばんから教科書を出した。	He took the textbook out of his bag.	1
sangatsu ha shigoto ga isogashii	3月は仕事が忙しい。	I have a lot of work in March.	1
kongetsu ha totemo isogashii	今月はとても忙しい。	I'm very busy this month.	1
sukoshi tsukaremashita	少し疲れました。	I'm a little tired.	1
kanojo ha sake ni tsuyoi	彼女は酒に強い。	She holds her liquor well.	1
tomodachi to osake wo nonde imasu	友達とお酒を飲んでいます。	I'm drinking sake with a friend.	1
osake ha otona ni natte kara	お酒は大人になってから。	You can drink alcohol when you're an adult.	1
mizu wo ippai kudasai	水を一杯ください。	Please give me a glass of water.	1
puuru ha hito de ippai desu	プールは人で一杯です。	The pool is packed.	1
kare ha igai ni ki ga chiisai	彼は意外に気が小さい。	He's unexpectedly timid.	1
shitsumon no imi ha wakarimashita ka	質問の意味は分かりましたか。	Did you understand the meaning of the question?	1
kodomotachi ga kouen de asonde iru	子供たちが公園で遊んでいる。	The children are playing in the park.	1
musuko ha hikouki no omocha ga suki desu	息子は飛行機のおもちゃが好きです。	My son likes toy airplanes.	1
onegai ga arimasu	お願いがあります。	I have a favor to ask.	1
kouji ha sangatsu made tsuzukimasu	工事は3月まで続きます。	Construction will continue until March.	1
kirin no kubi ha nagai	きりんの首は長い。	Giraffes' necks are long.	1
kesa kara atama ga itai	今朝から頭が痛い。	I've had a headache since this morning.	1
kyou ha atama ga itai desu	今日は頭が痛いです。	I have a headache today.	1
kare ha yuubinkyoku wo sagashite imashita	彼は郵便局を探していました。	He was looking for the post office.	1
otearai ha doko desu ka	お手洗いはどこですか。	Where's the bathroom?	1
tsumetai nomimono wo kudasai	冷たい飲み物をください。	Please give me a cold drink.	1
kare no heya ha totemo kitanai	彼の部屋はとても汚い。	His room is very dirty.	1
kanojo ha ashi ga futoi	彼女は足が太い。	She has fat legs.	1
yakyuu ha kyuunin de hitochiimu desu	野球は九人で1チームです。	In baseball there are nine people on one team.	1
otouto ha yakyuu ga suki desu	弟は野球が好きです。	My little brother likes baseball.	1
kare ha kami wo shinjite iru	彼は神を信じている。	He believes in God.	1
watashitachi ha rainen ie wo tatemasu	私たちは来年、家を建てます。	We're building a house next year.	1
ano ookii tatemono ha nan desu ka	あの大きい建物は何ですか。	What's that big building?	1
kare no nihongo no reberu ha watashi to onaji kurai da	彼の日本語のレベルは私と同じ位だ。	His Japanese level is about the same as mine.	1
ano hon wo doko ni okimashita ka	あの本をどこに置きましたか。	Where did you put that book?	1
kare ha kaban wo isu no ue ni okimashita	彼はかばんをいすの上に置きました。	He put the bag on the chair.	2
asoko ni basutei ga arimasu	あそこにバス停があります。	There's a bus stop over there.	1
kare ha konohen ni sunde imasu	彼はこの辺に住んでいます。	He lives around here.	1
kanojo ni kiiroi bara wo kaimashita	彼女に黄色いバラを買いました。	I bought her a yellow rose.	1
tomodachi to issho ni shukudai wo shita	友達と一緒に宿題をした。	I did my homework with a friend.	1
isshoni kaerimashou	一緒に帰りましょう。	Let's go home together.	1
rainen issho ni ryokou shimashou	来年一緒に旅行しましょう。	Let's travel together next year.	1
kono machi ni ha midori ga takusan arimasu	この町には緑がたくさんあります。	There's a lot of greenery in this town.	1
kono mondai ha kanari yasashii desu	この問題はかなり易しいです。	This problem is pretty easy.	1
kare ha ryuugakusei desu	彼は留学生です。	He's a foreign student.	1
ima kaisha ni modorimasu	今、会社に戻ります。	I'm going back to the office now.	1
watashi ha maiasa rokuji ni okimasu	私は毎朝6時に起きます。	I get up at six o'clock every morning.	1
machi de daijiken ga okorimashita	町で大事件が起こりました。	There was a major incident in town.	1
asu rokuji ni okoshite kudasai	明日、6時に起こしてください。	Please wake me up tomorrow at six o'clock.	1
kinjo de tounan jiken ga okimashita	近所で盗難事件が起きました。	Some burglaries occurred in the neighborhood.	1
mou neyou	もう寝よう。	Let's go to bed.	1
kanojo ha tabun ie de nete imasu	彼女は多分家で寝ています。	She's probably sleeping at home.	1
watashi ha madogawa no seki ni suwatta	私は窓側の席に座った。	I sat in a window seat.	1
hon wo issatsu kaimashita	本を１冊買いました。	I bought one book.	1
kanojo ha yubi ga hosoi desu ne	彼女は指が細いですね。	Her fingers are thin.	1
watashi ha mainichi nikki wo tsukete imasu	私は毎日、日記を付けています。	I keep a diary every day.	1
kare ha tokidoki chikoku shimasu	彼は時々遅刻します。	He's sometimes late.	1
kare ha shiitoberuto wo shimeta	彼はシートベルトを締めた。	He fastened his seat belt.	1
kono ichigo ha amai	このイチゴは甘い。	This strawberry is sweet.	1
kare ha karai mono ga suki desu	彼は辛いものが好きです。	He likes spicy food.	1
ryokou no nittei wo kaemashita	旅行の日程を変えました。	I changed our travel schedule.	1
ryokou no nittei ga kimarimashita	旅行の日程が決まりました。	I've decided on my travel schedule.	1
kare ha totemo yasashii hito desu	彼はとても優しい人です。	He's a very kind person.	1
kare ha yasashii hito desu	彼は優しい人です。	He's a nice guy.	1
watashi no otto ha sarariiman desu	私の夫はサラリーマンです。	My husband is a company employee.	1
dare mo sono hanashi wo shiranai	誰もその話を知らない。	No one knows that story.	1
dare to atte mitai desu ka	誰と会ってみたいですか。	Who would you like to meet one day?	1
oya no ai ha arigatai	親の愛は有り難い。	We're grateful for our parents' love.	1
watashi ha kazoku wo aishite imasu	私は家族を愛しています。	I love my family.	1
tomodachi ga tanjoubi purezento wo kureta	友達が誕生日プレゼントをくれた。	My friend gave me a birthday present.	1
raigetsu no hatsuka ha otouto no tanjoubi desu	来月の二十日は弟の誕生日です。	The 20th of next month is my little brother's birthday.	1
kyou ha tsuma no tanjoubi da	今日は妻の誕生日だ。	It's my wife's birthday today.	1
gogatsu itsuka ha shukujitsu desu	五月五日は祝日です	May 5th is a holiday.	1
doushite naite iru no	どうして泣いているの。	Why are you crying?	1
koko kara fujisan ga yoku miemasu	ここから富士山がよく見えます。	You can see Mount Fuji well from here.	1
ani ha suiei ga tokui desu	兄は水泳が得意です。	My big brother is good at swimming.	1
kono budou ha suppai desu	このぶどうは酸っぱいです。	These grapes are sour.	1
chiisai hana ga saite imasu	小さい花が咲いています。	Small flowers are blooming.	1
kono kotoba no imi ga wakarimasen	この言葉の意味が分かりません。	I don't understand the meaning of this word.	1
kono keeki ha oishii ne	このケーキはおいしいね。	This cake is yummy.	1
ueitaa wo yobimashou	ウェイターを呼びましょう。	Let's call the waiter.	1
mune ni sukoshi itami ga arimasu	胸に少し痛みがあります。	I have a slight pain in my chest.	1
kinou kara koshi ga itai	昨日から腰が痛い。	I've had a pain in my lower back since yesterday.	1
sara ni keeki wo nosemashita。	皿にケーキを載せました。	I put the cake on the plate.	1
kare ha se ga hikui	彼は背が低い。	He's short.	1
kare ha kurasu de ichiban se ga takai	彼はクラスで一番背が高い。	He's the tallest in class.	1
kanojo ha se ga takai	彼女は背が高い。	She's tall.	1
soko ni ooki na en wo kaite	そこに大きな円を描いて。	Draw a big circle there.	1
imouto ha hiragana wo zenbu oboemashita	妹は平仮名を全部覚えました。	My little sister learned all the hiragana.	1
